contrast_id	cohort_number	disease	accession	case_control_n	ACTG1	VWF	DNAH9	GPX3	C4B	CD44	CFHR2	ITIH3	LRG1	MYH7B
primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	C01	Alzheimer disease	PXD021718	10/5	0.830354457421446	0.868938123662613			0.110749727930507			0.303272306201993	-0.553242347120822	
primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	C02	Alzheimer disease	PXD016278	88/109		0.13206616317532		-0.0015850859132058	0.095184538188775	0.162383506370325		0.230648807422249	-0.238164758536016	
primary__curated_gate2_case_control__parkinson_disease__PXD055996__case_vs_control	C03	Parkinson disease	PXD055996	40/40		-0.0233229230250761		0.0960076741957156	0.064301835046091	0.0436527863422221	0.38677347063317	0.135761119516168	-0.228091635588859	
primary__curated_gate2_case_control__multiple_sclerosis__PXD050479__case_vs_control	C04	MS	PXD050479	30/19		-0.316684979456092								
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	267/321		-0.35830403189755		-0.0600567102786194	-0.332488373521141	0.103212993001677	-0.422322182521786	-0.721615090700304	-0.608125484000276	
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	10/20		-0.0943276031391846		0.658901575643345	-0.316505929055388	-0.158801653067616	0.0088723695135257	-0.788403695792443	-0.563200005490042	
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	5/5				-0.221910455014509	0.825277789136415	0.67840971678072	-0.0125879048407072		-0.0104218515166998	
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	8/8		0.5245758698907323		-0.5634711688690288	0.6107796238976562	-2.285000361007586	-0.2814394812581007	0.5120523345865973	-0.3386051637610183	
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	8/8		0.6059801663032793		-0.9028743304335548	-0.0356695091084482	-0.2761707823453267	-0.4940337782819348	0.2637797918925031	0.2725961467439894	
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	16/8		0.447446322191915		-0.517384496026514			-0.249559960921946	0.111507698282297		
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	47/69										
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	8/8		0.0814042964125469		-0.3394031615645261	-0.6464491330061044	2.067778730728346	-0.2125942970238341	-0.2482725426940941	0.6112013105050078	
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	10/6	-2.30954727053238	-1.40530104990587		0.824706346898971	1.23106754302246	-2.77224285476005	3.31456955136133	1.69078265579857	0.88985847458946	
primary__ckd_all_vs_nor_control__chronic_kidney_disease__PXD016433__all_ckd_vs_control	C14	Chronic kidney disease	PXD016433	30/6	-4.97537039634286	-1.37805837371197		0.396759323444115	0.137344018187576	-1.20588126023193	1.56368124036254	1.49144841399972	0.47012875869013	
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_3_vs_control	C15	Chronic kidney disease	PXD016433	11/6	-4.7329600026502	-0.920372812292289		0.538524865908695	0.20791179225775	-0.394111485834454	1.45520625341258	1.35129176883759	1.18507400812688	
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_1_vs_control	C16	Chronic kidney disease	PXD016433	9/6	-3.69675148939792	-0.77195463329107		0.776139719995509	-0.136007758756797	0.570503539493643	0.378245560317431	0.130036471579277	0.158086521781684	
PXD016571_urine_Bad_vs_Good	C17	T2D renal dysfunction/prognosis Bad vs Good	PXD016571	19/45		-0.4911165454583823		0.1115225428867745	-0.0345075104228875	0.5414524300719386			-0.0478641079871025	
PXD054937_tissue_PTDM_vs_NG	C18	proximal tubule tissue post-transplant diabetes vs normoglycemic	PXD054937	6/5		0.1118505305950083		-0.1217664044362116	-0.2711094701046939	-0.2996369852839997	-0.3548875079002469	-0.0008034979168183		
PXD054937_tissue_T2DM_vs_NG	C19	proximal tubule tissue pre-existing type 2 diabetes vs normoglycemic	PXD054937	6/5		0.334678611573258		-0.1598003110038597	-0.0229698386134469	-0.1751915828427357	0.1420549009991027	0.4462231946669295		
PXD054937_tissue_T2DM_vs_PTDM	C20	proximal tubule tissue pre-existing type 2 diabetes vs post-transplant diabetes	PXD054937	6/6		0.3097663137475894		-0.038033906567648	0.2481396314912469	0.124445402441264	0.4969424088993497	0.4470266925837478		
PXD044264_plasma_AKI_subphenotype_2_vs_1	C21	AKI plasma subphenotype 2 vs 1	PXD044264	42/14		0.302945789265582		0.5104476558425475	0.7955581091119832	1.4024433950267363	0.7121902397911981	0.7650571185427104	0.3910033887745996	
primary__curated_gate2_case_control__kidney_dysfunction__PXD046550__case_vs_control	C22	Kidney dysfunction	PXD046550	56/18		1.4596096510637	-0.132668249056721	-0.515065710566219	-0.566416355001348	0.276965839482283	0.596228678087279	0.645171968176452	0.683278514481628	
primary__curated_gate2_case_control__liver_dysfunction__PXD011839__case_vs_control	C23	Liver dysfunction	PXD011839	48/24		0.161629692328574		0.464267993505093	0.405889542100361	0.252840103389065		0.295284101319464	-0.123590664154669	
primary__curated_gate2_case_control__liver_dysfunction__GSE251855__case_vs_control	C24	Liver dysfunction	GSE251855	37/20		0.39241631464543								
primary__curated_gate2_case_control__cardiac_disease__PXD009356__case_vs_control	C25	Cardiac disease	PXD009356	13/14	0.043555671043805	-0.845453083725978		0.196448002055277	-0.304061354020593		-0.0286755817998205	0.674747346394209	0.445725897046561	
primary__curated_gate2_case_control__cardiac_disease__GSE95368__case_vs_control	C26	Cardiac disease	GSE95368	27/6										
primary__curated_gate2_case_control__cardiac_disease__PXD029375__case_vs_control	C27	MIS-C / cardiac involvement	PXD029375	34/25		0.562044588235294						0.425339647058823		
primary__curated_gate2_case_control__cardiac_disease__GSE181091__case_vs_control	C28	Cardiac disease	GSE181091	8/4		1.1759461690625								
