contrast_id	cohort_number	disease	accession	ACTG1	VWF	DNAH9	GPX3	C4B	CD44	CFHR2	ITIH3	LRG1	MYH7B
primary__curated_gate2_case_control__alzheimer_disease__PXD021718__case_vs_control	C01	Alzheimer disease	PXD021718	weak_opposite_direction	weak_same_direction	not_detected_or_unmapped	not_detected_or_unmapped	weak_opposite_direction	not_detected_or_unmapped	not_detected_or_unmapped	weak_opposite_direction	weak_same_direction	not_detected_or_unmapped
primary__curated_gate2_case_control__alzheimer_disease__PXD016278__case_vs_control	C02	Alzheimer disease	PXD016278	not_detected_or_unmapped	weak_same_direction	not_detected_or_unmapped	weak_same_direction	weak_opposite_direction	weak_same_direction	not_detected_or_unmapped	weak_opposite_direction	weak_same_direction	not_detected_or_unmapped
primary__curated_gate2_case_control__parkinson_disease__PXD055996__case_vs_control	C03	Parkinson disease	PXD055996	not_detected_or_unmapped	weak_opposite_direction	not_detected_or_unmapped	weak_opposite_direction	weak_opposite_direction	weak_same_direction	weak_same_direction	weak_opposite_direction	weak_same_direction	not_detected_or_unmapped
primary__curated_gate2_case_control__multiple_sclerosis__PXD050479__case_vs_control	C04	MS	PXD050479	not_detected_or_unmapped	weak_opposite_direction	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped
primary__curated_gate2_case_control__multiple_sclerosis__PXD045058__case_vs_control	C05	Multiple sclerosis	PXD045058	not_detected_or_unmapped	weak_opposite_direction	not_detected_or_unmapped	weak_same_direction	weak_same_direction	weak_same_direction	weak_opposite_direction	concordant_dep	concordant_dep	not_detected_or_unmapped
primary__curated_gate2_case_control__parkinson_disease__PXD038555__case_vs_control	C06	Parkinson disease	PXD038555	not_detected_or_unmapped	weak_opposite_direction	not_detected_or_unmapped	discordant_dep	weak_same_direction	weak_opposite_direction	weak_same_direction	concordant_dep	weak_same_direction	not_detected_or_unmapped
primary__curated_gate2_case_control__multiple_sclerosis__PXD032287__case_vs_control	C07	Multiple sclerosis	PXD032287	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	weak_same_direction	weak_opposite_direction	weak_same_direction	weak_opposite_direction	not_detected_or_unmapped	weak_same_direction	not_detected_or_unmapped
PXD054961_serum_T2DM_vs_PTDM	C08	pre-existing type 2 diabetes vs post-transplant diabetes	PXD054961	not_detected_or_unmapped	weak_same_direction	not_detected_or_unmapped	weak_same_direction	weak_opposite_direction	weak_opposite_direction	weak_opposite_direction	weak_opposite_direction	weak_same_direction	not_detected_or_unmapped
PXD054961_serum_T2DM_vs_NG	C09	pre-existing type 2 diabetes vs normoglycemic kidney transplant recipients	PXD054961	not_detected_or_unmapped	weak_same_direction	not_detected_or_unmapped	weak_same_direction	weak_same_direction	weak_opposite_direction	weak_opposite_direction	weak_opposite_direction	weak_opposite_direction	not_detected_or_unmapped
primary__curated_gate2_case_control__metabolic_dysfunction__PXD054961__case_vs_control	C10	Diabetes mellitus	PXD054961	not_detected_or_unmapped	weak_same_direction	not_detected_or_unmapped	weak_same_direction	not_detected_or_unmapped	not_detected_or_unmapped	weak_opposite_direction	weak_opposite_direction	not_detected_or_unmapped	not_detected_or_unmapped
primary__curated_gate2_case_control__metabolic_dysfunction__PAD000040__case_vs_control	C11	Metabolic dysfunction	PAD000040	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped
PXD054961_serum_PTDM_vs_NG	C12	post-transplant diabetes vs normoglycemic kidney transplant recipients	PXD054961	not_detected_or_unmapped	weak_same_direction	not_detected_or_unmapped	weak_same_direction	weak_same_direction	concordant_exploratory	weak_opposite_direction	weak_same_direction	weak_opposite_direction	not_detected_or_unmapped
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_5_vs_control	C13	Chronic kidney disease	PXD016433	weak_same_direction	discordant_dep	not_detected_or_unmapped	weak_opposite_direction	discordant_dep	discordant_dep	concordant_dep	weak_opposite_direction	weak_opposite_direction	not_detected_or_unmapped
primary__ckd_all_vs_nor_control__chronic_kidney_disease__PXD016433__all_ckd_vs_control	C14	Chronic kidney disease	PXD016433	concordant_dep	discordant_dep	not_detected_or_unmapped	weak_opposite_direction	weak_opposite_direction	weak_opposite_direction	concordant_dep	weak_opposite_direction	weak_opposite_direction	not_detected_or_unmapped
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_3_vs_control	C15	Chronic kidney disease	PXD016433	concordant_dep	weak_opposite_direction	not_detected_or_unmapped	weak_opposite_direction	weak_opposite_direction	weak_opposite_direction	concordant_dep	weak_opposite_direction	weak_opposite_direction	not_detected_or_unmapped
subtype_sensitivity__ckd_stage_vs_nor_control__chronic_kidney_disease__PXD016433__ckd_stage_1_vs_control	C16	Chronic kidney disease	PXD016433	concordant_exploratory	weak_opposite_direction	not_detected_or_unmapped	weak_opposite_direction	weak_same_direction	weak_same_direction	weak_same_direction	weak_opposite_direction	weak_opposite_direction	not_detected_or_unmapped
PXD016571_urine_Bad_vs_Good	C17	T2D renal dysfunction/prognosis Bad vs Good	PXD016571	not_detected_or_unmapped	weak_opposite_direction	not_detected_or_unmapped	weak_opposite_direction	weak_same_direction	weak_same_direction	not_detected_or_unmapped	not_detected_or_unmapped	weak_same_direction	not_detected_or_unmapped
PXD054937_tissue_PTDM_vs_NG	C18	proximal tubule tissue post-transplant diabetes vs normoglycemic	PXD054937	not_detected_or_unmapped	weak_same_direction	not_detected_or_unmapped	weak_same_direction	weak_same_direction	weak_opposite_direction	weak_opposite_direction	weak_same_direction	not_detected_or_unmapped	not_detected_or_unmapped
PXD054937_tissue_T2DM_vs_NG	C19	proximal tubule tissue pre-existing type 2 diabetes vs normoglycemic	PXD054937	not_detected_or_unmapped	weak_same_direction	not_detected_or_unmapped	weak_same_direction	weak_same_direction	weak_opposite_direction	weak_same_direction	weak_opposite_direction	not_detected_or_unmapped	not_detected_or_unmapped
PXD054937_tissue_T2DM_vs_PTDM	C20	proximal tubule tissue pre-existing type 2 diabetes vs post-transplant diabetes	PXD054937	not_detected_or_unmapped	weak_same_direction	not_detected_or_unmapped	weak_same_direction	weak_opposite_direction	weak_same_direction	weak_same_direction	weak_opposite_direction	not_detected_or_unmapped	not_detected_or_unmapped
PXD044264_plasma_AKI_subphenotype_2_vs_1	C21	AKI plasma subphenotype 2 vs 1	PXD044264	not_detected_or_unmapped	weak_same_direction	not_detected_or_unmapped	discordant_dep	discordant_dep	concordant_dep	concordant_dep	discordant_dep	weak_opposite_direction	not_detected_or_unmapped
primary__curated_gate2_case_control__kidney_dysfunction__PXD046550__case_vs_control	C22	Kidney dysfunction	PXD046550	not_detected_or_unmapped	concordant_dep	weak_opposite_direction	concordant_dep	concordant_dep	weak_same_direction	concordant_dep	discordant_dep	discordant_dep	not_detected_or_unmapped
primary__curated_gate2_case_control__liver_dysfunction__PXD011839__case_vs_control	C23	Liver dysfunction	PXD011839	not_detected_or_unmapped	weak_same_direction	not_detected_or_unmapped	weak_opposite_direction	weak_opposite_direction	weak_same_direction	not_detected_or_unmapped	weak_opposite_direction	weak_same_direction	not_detected_or_unmapped
primary__curated_gate2_case_control__liver_dysfunction__GSE251855__case_vs_control	C24	Liver dysfunction	GSE251855	not_detected_or_unmapped	weak_same_direction	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped
primary__curated_gate2_case_control__cardiac_disease__PXD009356__case_vs_control	C25	Cardiac disease	PXD009356	weak_opposite_direction	weak_opposite_direction	not_detected_or_unmapped	weak_opposite_direction	weak_same_direction	not_detected_or_unmapped	weak_opposite_direction	weak_opposite_direction	weak_opposite_direction	not_detected_or_unmapped
primary__curated_gate2_case_control__cardiac_disease__GSE95368__case_vs_control	C26	Cardiac disease	GSE95368	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped
primary__curated_gate2_case_control__cardiac_disease__PXD029375__case_vs_control	C27	MIS-C / cardiac involvement	PXD029375	not_detected_or_unmapped	concordant_dep	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	weak_opposite_direction	not_detected_or_unmapped	not_detected_or_unmapped
primary__curated_gate2_case_control__cardiac_disease__GSE181091__case_vs_control	C28	Cardiac disease	GSE181091	not_detected_or_unmapped	concordant_exploratory	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped	not_detected_or_unmapped
